Country,Year,Tech Sector,Market Share (%), R&D Investment (in USD) ,Number of Patents Filed (Annual),Number of Tech Companies, Tech Exports (in USD) ,Number of Startups, Venture Capital Funding (in USD) ,Global Innovation Ranking,Internet Penetration (%),5G Network Coverage (%),University Research Collaborations,Top Tech Products Exported,Number of Tech Workers
China,2001,Software,22.28%," $83,772,077,459 ",1415,878," $35,031,547,672.64 ",166," $45,026,942,421 ",11,57%,82%,50,Robots,621221
Japan,2011,Semiconductor,31.90%," $35,511,335,905 ",7899,364," $37,142,090,222.44 ",217," $11,473,812,659 ",14,78%,49%,134,5G Equipment,431928
Japan,2009,Robotics,33.57%," $84,809,484,676 ",3749,425," $157,040,631,146.37 ",451," $5,498,885,373 ",14,56%,66%,58,Semiconductors,55776
Japan,2019,Cloud Computing,24.90%," $22,678,211,745 ",3841,62," $103,128,355,994.51 ",264," $21,862,782,400 ",10,79%,29%,150,Robots,267852
China,2002,Robotics,46.98%," $34,536,550,748 ",1704,458," $111,205,589,579.85 ",463," $40,982,820,657 ",10,70%,39%,74,AI Chips,654162
China,2022,Semiconductor,12.74%," $40,293,285,924 ",186,792," $1,686,877,298.60 ",247," $33,802,354,648 ",6,94%,22%,24,Robots,437676
China,2022,Cloud Computing,20.48%," $48,234,527,651 ",4313,1738," $101,162,305,420.06 ",123," $33,231,019,713 ",17,42%,88%,17,5G Equipment,225028
China,2006,Robotics,22.59%," $21,770,509,711 ",8170,1437," $87,883,217,246.22 ",131," $18,334,921,659 ",19,60%,66%,112,AI Chips,146593
China,2011,AI,12.75%," $11,799,355,715 ",7535,1879," $130,895,494,093.62 ",269," $2,719,328,019 ",19,86%,18%,95,Robots,914680
Japan,2002,Biotechnology,37.22%," $9,792,535,308 ",3198,601," $16,010,662,731.80 ",46," $22,192,095,170 ",14,67%,45%,132,Cloud Servers,382884
Japan,2009,Semiconductor,23.97%," $34,203,380,519 ",4363,631," $65,811,133,849.17 ",44," $49,482,776,845 ",17,67%,77%,32,Robots,626542
Japan,2022,Software,26.58%," $48,991,069,441 ",3152,670," $14,607,062,293.47 ",487," $30,574,177,781 ",10,47%,85%,14,5G Equipment,743829
Japan,2021,Software,11.94%," $44,332,499,123 ",819,518," $46,745,427,148.32 ",394," $45,682,107,860 ",10,74%,24%,119,Semiconductors,260824
Japan,2006,Cloud Computing,44.62%," $17,734,997,128 ",5293,1295," $20,130,581,615.10 ",117," $25,655,437,064 ",5,100%,73%,142,AI Chips,107643
Japan,2016,Telecommunications,12.74%," $69,336,991,755 ",5659,799," $68,247,038,930.73 ",464," $2,569,057,389 ",14,74%,87%,155,Semiconductors,144404
Japan,2011,Biotechnology,45.24%," $8,998,002,772 ",5966,229," $150,376,779,749.23 ",192," $17,217,555,859 ",6,88%,84%,54,Semiconductors,500568
Japan,2021,Robotics,33.70%," $2,895,751,888 ",1057,549," $140,170,253,806.40 ",256," $20,345,835,410 ",2,75%,42%,150,Cloud Servers,303333
Japan,2011,Cloud Computing,8.06%," $79,518,780,686 ",9492,1379," $126,357,912,594.17 ",442," $13,503,995,096 ",3,90%,29%,78,Robots,657941
Japan,2002,Cloud Computing,17.06%," $45,906,385,443 ",6107,1725," $55,671,166,854.32 ",125," $49,631,178,512 ",13,91%,75%,5,Semiconductors,90082
China,2009,Software,5.51%," $69,169,742,827 ",5803,1149," $65,387,415,433.26 ",124," $7,825,700,556 ",13,99%,73%,112,Semiconductors,902884
Japan,2010,Semiconductor,35.33%," $57,080,851,460 ",7901,1305," $152,303,285,998.04 ",287," $42,099,596,478 ",15,77%,64%,64,Semiconductors,524229
Japan,2019,AI,40.34%," $90,285,496,363 ",6755,1706," $105,722,393,076.59 ",320," $3,140,891,839 ",10,67%,49%,103,Cloud Servers,357355
Japan,2008,Cloud Computing,12.91%," $18,831,203,317 ",124,1529," $1,072,722,897.60 ",453," $20,088,305,876 ",13,55%,37%,12,AI Chips,554324
China,2020,Cloud Computing,14.09%," $24,435,813,242 ",3434,1870," $163,071,991,358.40 ",439," $37,172,788,248 ",1,92%,82%,40,AI Chips,247804
Japan,2004,Semiconductor,27.49%," $30,826,393,071 ",1851,1819," $112,540,144,820.29 ",321," $24,599,463,583 ",1,93%,24%,46,5G Equipment,144794
China,2000,Semiconductor,20.64%," $64,429,838,704 ",3716,258," $97,469,038,681.06 ",278," $21,224,465,615 ",13,95%,61%,2,AI Chips,710891
Japan,2009,Cloud Computing,14.95%," $49,289,583,640 ",1125,1372," $172,265,320,908.90 ",55," $17,695,603,900 ",1,64%,53%,9,Semiconductors,48377
Japan,2002,AI,29.47%," $90,858,201,313 ",2697,499," $102,946,666,585.29 ",78," $37,611,367,308 ",4,47%,71%,155,5G Equipment,148705
Japan,2010,Cloud Computing,12.84%," $64,950,895,318 ",8171,509," $3,359,802,718.18 ",62," $15,619,821,687 ",16,71%,67%,181,AI Chips,549937
China,2013,Telecommunications,44.90%," $30,306,106,311 ",403,509," $61,818,414,295.84 ",493," $14,724,860,880 ",13,75%,53%,92,Cloud Servers,142474
China,2007,Software,25.15%," $48,549,799,931 ",535,1961," $66,449,493,110.65 ",229," $29,227,030,428 ",11,87%,26%,33,5G Equipment,821702
China,2005,Robotics,42.70%," $45,835,861,733 ",9073,906," $85,894,437,246.69 ",388," $48,886,848,313 ",14,60%,36%,26,AI Chips,416491
China,2021,Software,9.77%," $74,140,277,330 ",3329,850," $99,744,065,541.39 ",296," $9,150,345,276 ",16,81%,33%,145,Cloud Servers,276696
China,2012,Semiconductor,34.20%," $70,303,948,489 ",1501,1601," $146,522,558,743.88 ",407," $7,562,468,111 ",11,86%,70%,7,Cloud Servers,877994
Japan,2004,Telecommunications,36.11%," $32,873,795,963 ",122,1005," $155,257,973,246.46 ",117," $25,257,447,833 ",1,72%,13%,20,Semiconductors,169730
China,2015,Semiconductor,36.60%," $65,619,746,637 ",5972,1183," $82,742,954,652.33 ",161," $33,165,040,495 ",7,47%,64%,58,AI Chips,690949
Japan,2019,Biotechnology,29.71%," $72,598,334,395 ",2714,1290," $8,902,480,190.78 ",441," $21,611,329,725 ",13,47%,86%,90,Cloud Servers,386910
Japan,2003,Cloud Computing,18.72%," $11,497,533,700 ",4134,524," $75,085,181,386.93 ",474," $8,002,573,884 ",19,65%,86%,163,Robots,822998
Japan,2006,AI,39.32%," $59,603,129,565 ",9181,123," $103,916,408,959.34 ",344," $25,231,633,798 ",5,68%,73%,108,Cloud Servers,869769
China,2003,Semiconductor,9.43%," $59,173,431,502 ",7757,1536," $39,529,717,891.80 ",207," $9,347,598,899 ",12,88%,13%,147,5G Equipment,719896
China,2001,Robotics,7.64%," $36,307,185,004 ",3194,689," $178,756,226,171.94 ",163," $26,150,521,520 ",13,54%,24%,53,Robots,669522
Japan,2012,Cloud Computing,23.84%," $85,320,452,961 ",9989,111," $147,545,137,460.23 ",291," $49,799,933,771 ",19,46%,62%,85,Cloud Servers,657459
Japan,2022,Software,29.64%," $4,949,780,849 ",1383,453," $82,064,310,967.35 ",72," $48,087,934,330 ",6,62%,28%,90,Semiconductors,44275
Japan,2006,Biotechnology,18.06%," $25,003,850,607 ",6429,595," $23,375,834,435.51 ",441," $12,159,320,720 ",16,53%,50%,50,5G Equipment,256911
China,2022,Cloud Computing,33.12%," $12,191,929,905 ",6374,1214," $37,817,035,313.78 ",378," $30,575,642,483 ",6,56%,38%,136,AI Chips,403767
Japan,2008,Biotechnology,9.64%," $23,070,612,282 ",6031,323," $163,601,875,116.67 ",272," $896,470,944 ",9,47%,19%,148,Robots,329750
Japan,2010,Cloud Computing,40.71%," $69,333,558,696 ",3268,447," $99,478,538,871.60 ",459," $20,701,119,489 ",9,84%,51%,79,AI Chips,540250
Japan,2022,Software,30.21%," $46,776,859,477 ",2091,822," $35,178,751,746.41 ",471," $9,929,457,197 ",5,92%,14%,43,Semiconductors,124559
